Year,Day,Hour,Minutes,Latitude,Longitude,Altitude,Hdop,Num_of_sats,Individual
21,132,14,0,-32.548884,152.309906,6,1.4,7,UOM2002
21,132,15,0,-32.548782,152.309906,12,0.9,9,UOM2002
21,132,16,0,-32.548877,152.309829,8,0.8,11,UOM2002
21,132,17,0,-32.549596,152.30749,0,0.9,9,UOM2002
21,132,18,0,-32.53838,152.317433,0,0.8,10,UOM2002
21,132,19,0,-32.538965,152.318145,17,0.7,12,UOM2002
21,132,20,0,-32.538984,152.318044,9,0.7,12,UOM2002
21,132,21,0,-32.543505,152.309956,0,1.2,8,UOM2002
21,132,22,0,-32.543441,152.309829,16,0.7,11,UOM2002
21,132,23,0,-32.543473,152.310007,0,0.8,10,UOM2002
21,133,0,0,-32.543505,152.309982,19,1.1,8,UOM2002
21,133,1,0,-32.543429,152.309956,4,0.9,8,UOM2002
21,133,2,0,-32.543499,152.310058,0,0.9,7,UOM2002
21,133,3,0,-32.549742,152.307718,0,1,8,UOM2002
21,133,4,0,-32.549882,152.307515,0,1.1,8,UOM2002
21,133,5,0,-32.549895,152.30754,0,0.8,10,UOM2002
21,133,6,0,-32.549736,152.307718,0,0.9,11,UOM2002
21,133,7,0,-32.548566,152.309855,38,0.8,11,UOM2002
21,133,8,0,-32.548718,152.309778,12,1,9,UOM2002
21,133,9,0,-32.548661,152.309829,13,0.8,9,UOM2002
21,133,10,0,-32.54868,152.309804,16,0.7,11,UOM2002
21,133,11,0,-32.548725,152.309804,17,0.9,9,UOM2002
21,133,12,0,-32.549774,152.307668,4,1.1,9,UOM2002
21,133,13,0,-32.54964,152.307998,8,1,9,UOM2002
21,133,14,0,-32.549615,152.307973,2,1.2,10,UOM2002
21,133,15,0,-32.549627,152.307718,11,0.9,9,UOM2002
21,133,16,0,-32.549837,152.308914,7,0.8,11,UOM2002
21,133,17,0,-32.549799,152.308888,9,0.9,9,UOM2002
21,133,18,0,-32.549716,152.307668,4,0.8,10,UOM2002
21,133,19,0,-32.549697,152.307617,3,0.7,11,UOM2002
21,133,20,0,-32.549659,152.307718,0,1,9,UOM2002
21,133,21,0,-32.549774,152.308176,0,0.9,9,UOM2002
21,133,22,0,-32.549678,152.307947,0,0.8,10,UOM2002
21,133,23,0,-32.549907,152.308176,0,0.7,11,UOM2002
21,134,0,0,-32.549297,152.308074,4,1,8,UOM2002
21,134,1,0,-32.549812,152.308176,13,0.9,8,UOM2002
21,134,2,0,-32.549825,152.308329,17,0.9,8,UOM2002
21,134,3,0,-32.549856,152.308227,8,1,8,UOM2002
21,134,4,0,-32.549786,152.308202,0,1.5,6,UOM2002
21,134,5,0,-32.549837,152.308176,10,0.7,11,UOM2002
21,134,6,0,-32.543352,152.307871,0,0.9,12,UOM2002
21,134,7,0,-32.513235,152.32135,0,0.7,13,UOM2002
21,134,8,0,-32.505002,152.323232,1,0.9,10,UOM2002
21,134,9,0,-32.50518,152.323359,7,0.8,10,UOM2002
21,134,10,0,-32.505173,152.323308,0,0.8,10,UOM2002
21,134,11,0,-32.505123,152.323257,12,1,8,UOM2002
